RecordID_Int,ParcelNumber,StreetNumber,StreetName,Unit,StateCode,TaxType,Zone,TaxDist,Legal,Acreage,GPIN
8417,370085F00,104,KELSEY CT,,1.0 Residential (Urban),Taxable,PUD,,LOT 6 MADISON PLACE,0.075,3438
8418,370085G00,102,KELSEY CT,,1.0 Residential (Urban),Taxable,PUD,,LOT 7 MADISON PLACE,0.077,3472
8419,370085H00,100,KELSEY CT,,1.0 Residential (Urban),Taxable,PUD,,LOT 8 MADISON PLACE,0.078,3501
8420,370085I00,101,TRIPPER CT,,1.0 Residential (Urban),Taxable,PUD,,LOT 9 MADISON PLACE,0.078,3509
8421,370085J00,103,TRIPPER CT,,1.0 Residential (Urban),Taxable,PUD,,LOT 10 MADISON PLACE,0.077,3477
8422,370085K00,105,TRIPPER CT,,1.0 Residential (Urban),Taxable,PUD,,LOT 11 MADISON PLACE,0.075,3445
8423,370085L00,107,TRIPPER CT,,1.0 Residential (Urban),Taxable,PUD,,LOT 12 MADISON PLACE,0.074,3412
8424,370085M00,106,TRIPPER CT,,1.0 Residential (Urban),Taxable,PUD,,LOT 13 MADISON PLACE,0.097,3420
8425,370085N00,104,TRIPPER CT,,1.0 Residential (Urban),Taxable,PUD,,LOT 14 MADISON PLACE,0.074,3452
8426,370085O00,102,TRIPPER CT,,1.0 Residential (Urban),Taxable,PUD,,LOT 15 MADISON PLACE,0.076,3482
8427,370085P00,100,TRIPPER CT,,1.0 Residential (Urban),Taxable,PUD,,LOT 16 MADISON PLACE,0.096,3533
8428,370086000,1625,MADISON AVE,,7.3 Exempt Local,Exempt,R-2,,LOT A-1,0.668,3249
8429,370086100,1623,MADISON AVE,,7.3 Exempt Local,Exempt,R-2,,LOT A-2,0.18,3279
8430,370086200,1621,MADISON AVE,,7.3 Exempt Local,Exempt,R-2,,LOT A-3,0.254,3289
8431,370086300,1619,MADISON AVE,,7.3 Exempt Local,Exempt,R-2,,LOT A-4,0.254,3296
8432,370086400,1617,MADISON AVE,,7.3 Exempt Local,Exempt,R-2,,LOT A-5,0.254,3301
8433,370086500,1615,MADISON AVE,,7.3 Exempt Local,Exempt,R-2,,LOT A-6,0.254,3306
8434,370086600,1613,MADISON AVE,,7.3 Exempt Local,Exempt,R-2,,LOT A-7,0.254,3311
8435,370086700,1611,MADISON AVE,,7.3 Exempt Local,Exempt,R-2,,LOT A-8,0.18,3323
8436,370086800,1609,MADISON AVE,,7.3 Exempt Local,Exempt,R-2,,LOT A-9,1.608,3332
8437,380001000,1400,RUGBY RD,,1.0 Residential (Urban),Taxable,R-1,,LOT RUGBY HILLS,0.534,1527
8438,380002000,1705,BRUCE AVE,,1.0 Residential (Urban),Taxable,R-1,,LOT A RUGBY HILLS,0.339,1551
8439,380003000,1707,BRUCE AVE,,1.0 Residential (Urban),Taxable,R-1,,LOT B RUGBY HILLLS,0.184,1529
8440,380004000,1400,GENTRY LN,,1.0 Residential (Urban),Taxable,R-1,,LOT & PAR X RUGBY HILLS,0.169,1512
8441,380005000,0,GENTRY LN,,1.0 Residential (Urban),Taxable,R-1,,LOT A & PARCELS A&Y RUGBY HILLS,0.187,1505
8442,380006000,1404,GENTRY LN,,3.0 Multi-Family,Taxable,R-1,,LOT MEADOWBROOK HILLS,0.157,1501
8443,380006100,1406,GENTRY LN,,3.0 Multi-Family,Taxable,R-1,,LOT MEADOWBROOK HILLS,0.226,1495
8444,380007000,1408,GENTRY LN,,3.0 Multi-Family,Taxable,R-1,,LOT MEADOWBROOK HILLS,0.34,1491
8445,380008000,1410,GENTRY LN,,1.0 Residential (Urban),Taxable,R-1,,LOT 2 MEADOWBROOK HILLS,0.33,1487
8446,380009000,1412,GENTRY LN,,1.0 Residential (Urban),Taxable,R-1,,LOT 3 MEADOWBROOK HILLS,0.347,1486
8447,380010000,1414,GENTRY LN,,1.0 Residential (Urban),Taxable,R-1,,LOT 4 MEADOWBROOK HILLS,0.344,1485
8448,380011000,1416,GENTRY LN,,1.0 Residential (Urban),Taxable,R-1,,LOT 5 MEADOWBROOK HILLS,0.202,1483
8449,380012000,1418,GENTRY LN,,1.0 Residential (Urban),Taxable,R-1,,LOT 6 MEADOWBROOK HILLS,0.202,1481
8450,380013000,1420,GENTRY LN,,1.0 Residential (Urban),Taxable,R-1,,LOT 7 MEADOWBROOK HILLS,0.202,1479
8451,380014000,1422,GENTRY LN,,1.0 Residential (Urban),Taxable,R-1,01,LOT 8,0.174,1476
8452,380015000,1627,GREENLEAF LN,,1.0 Residential (Urban),Taxable,R-1,,LOT 1 BK 1 GREENLEAF TERRACE,0.286,1475
8453,380016000,1625,GREENLEAF LN,,1.0 Residential (Urban),Taxable,R-1,,LOT 2 BK 1 GREENLEAF TERRACE,0.18,1508
8454,380017000,1623,GREENLEAF LN,,1.0 Residential (Urban),Taxable,R-1,,LOT 3 BK 1 GREENLEAF TERRACE,0.269,1517
8455,380018000,1621,GREENLEAF LN,,1.0 Residential (Urban),Taxable,R-1,,LOT 4 BK 1 GREENLEAF TERRACE,0.394,1519
8456,380019000,1619,GREENLEAF LN,,1.0 Residential (Urban),Taxable,R-1,,LOT 5 BK 1 GREENLEAF TERRACE,0.48,1532
8457,380020000,1617,GREENLEAF LN,,1.0 Residential (Urban),Taxable,R-1,,LOT 6 BK 1 GREENLEAF TERRACE,0.428,1568
8458,380021000,1615,GREENLEAF LN,,1.0 Residential (Urban),Taxable,R-1,,LOT 7 BK 1 GREENLEAF TERRACE,0.361,1581
8459,380022000,1613,GREENLEAF LN,,1.0 Residential (Urban),Taxable,R-1,,LOT 8 BK 1 GREENLEAF TERRACE,0.252,1597
8460,380023000,1611,GREENLEAF LN,,1.0 Residential (Urban),Taxable,R-1,01,LOT 9 BK 1 GREENLEAF TERRACE,0.234,1606
