RecordID_Int,ParcelNumber,StreetNumber,StreetName,Unit,UseCode,Style,Grade,Roof,Flooring,Heating,Fireplace,YearBuilt,TotalRooms,Bedrooms,HalfBathrooms,FullBathrooms,BasementGarage,Basement,FinishedBasement,BasementType,ExternalWalls,NumberOfStories,SquareFootageFinishedLiving
2321,180054000,2607,JEFFERSON PARK CIR,,Single Family,2 Story,C,Architectural Shingles,Hardwood,Hot Water Radiator,2,1949,10,5,1,3,0,846,820,Full Basement,Wood,2.00,1780
2322,180055000,236,SUNSET AVE,,Duplex,1 Story,C,Shingles,Hardwood,Forced Air,0,1957,5,3,0,1,0,979,750,Full Basement,Aluminum,1.00,979
2323,180055100,234,SUNSET AVE,,Single Family,1 Story,C,Shingles,Hardwood,Forced Air,0,1957,5,3,0,1,0,979,0,Full Basement,Vinyl,1.00,979
2324,180055200,232,SUNSET AVE,,Duplex,1 Story,C,Shingles,Hardwood,Forced Air,0,1957,8,5,0,2,0,979,734,Full Basement,Wood,1.00,979
2325,180055300,230,SUNSET AVE,,Single Family,1 Story,C,Shingles,Hardwood,Forced Air,0,1957,7,3,0,2,0,979,586,Partial Basement,Wood,1.00,1099
2326,180055400,228,SUNSET AVE,,Single Family,1 Story,C,Shingles,Hardwood,Forced Air,0,1957,9,3,0,1,0,979,0,Full Basement,Vinyl,1.00,979
2327,180055500,226,SUNSET AVE,,Single Family,1 Story,C,Shingles,Hardwood,Forced Air,0,1957,5,3,0,1,0,979,0,Full Basement,Aluminum,1.00,979
2328,180056000,2611,JEFFERSON PARK CIR,,Single Family,1 Story,C,Shingles,Hardwood,Radiant,1,1955,6,3,0,2,0,844,844,Partial Basement,Wood,1.00,844
2329,180057000,2617,JEFFERSON PARK CIR,,Single Family-1 Conversion,1 Sty w/ Bsmt,C +,Architectural Shingles,Hardwood,Forced Air,2,1952,10,4,0,2,0,1100,956,Full Basement,Wood,1.00,1230
2330,180058000,2619,JEFFERSON PARK CIR,,Single Family,1 Story,C,Shingles,Hardwood,Hot Water Radiator,1,1929,8,4,0,2,0,1024,874,Full Basement,Stone,1.00,1024
2331,180059000,2621,JEFFERSON PARK CIR,,Single Family-1 Conversion,1 Story,C,Shingles,Hardwood,Forced Air,2,1957,10,5,1,2,0,1065,799,Full Basement,Wood,1.00,1180
2332,180059100,238,SUNSET AVE,,Single Family-1 Conversion,1 Story,C,Shingles,Hardwood,Baseboard,0,1977,10,4,0,2,0,0,0,No Basement,Wood,1.00,1776
2333,180060000,2625,JEFFERSON PARK CIR,,Single Family,2 Story,B,Shingles,Hardwood,Hot Water Radiator,1,1939,8,3,2,2,0,864,800,Full Basement,Brick Veneer,2.00,2656
2334,180060100,0,SUNSET AVE,,Vacant Land,No data,No data,No data,No data,No data,No dat,,No dat,No dat,No dat,No dat,No dat,0,0,No data,No data,No dat,
2335,180555000,0,UNKNOWN,,Vacant Land,,,,,,,,,,,,,0,0,,,,
2336,18A001000,151,STRIBLING AVE,,Single Family,1 Story,C +,Architectural Shingles,Hardwood,Heat Pump,0,1952,4,2,0,1,0,768,,Full Basement,Vinyl,1.00,768
2337,18A003000,155,STRIBLING AVE,,Single Family-1 Conversion,1 Story,C,Shingles,Hardwood,Forced Air,0,1920,7,3,0,2,0,1107,885,Full Basement,Vinyl,1.00,1107
2338,18A006000,211,STRIBLING AVE,,Single Family-1 Conversion,1 Story,C,Shingles,Hardwood,Hot Water Radiator,1,1958,8,3,0,2,0,1071,910,Full Basement,Brick Veneer,1.00,1071
2339,18A007000,213,STRIBLING AVE,,Duplex,1 Story,C,Shingles,Hardwood,Baseboard,0,1967,8,4,0,2,0,698,698,Full Basement,Aluminum,1.00,674
2340,18A008000,215,STRIBLING AVE,,Single Family,1 Story,C,Shingles,Hardwood,Hot Water Radiator,0,1961,5,3,0,1,0,862,,Full Basement,Wood,1.00,862
2341,18A009000,217,STRIBLING AVE,,Duplex,2 Sty Attached,C -,Shingles,Hardwood,Heat Pump,0,1971,10,4,0,2,0,862,,Full Basement,Brick Veneer,2.00,1724
2342,18A010000,219,STRIBLING AVE,,Duplex,2 Story,C,Shingles,Hardwood,Baseboard,0,1970,8,4,0,2,0,862,0,Full Basement,Brick Veneer,2.00,1724
2343,18A011000,221,STRIBLING AVE,,Single Family-1 Conversion,1 Sty w/ Bsmt,C,Architectural Shingles,Hardwood,Hot Water Radiator,1,1951,8,3,0,2,0,918,540,Partial Basement,Stucco,1.00,1030
2344,18A012000,223,STRIBLING AVE,A&B,Duplex,2 Story,C,Shingles,Hardwood,Baseboard,0,1971,10,4,0,2,0,864,0,Full Basement,Brick Veneer,2.00,1688
2345,18A013000,227,STRIBLING AVE,,Single Family,1 Story,C,Shingles,Hardwood,Floor Furnace,0,1963,5,3,0,1,0,1019,0,Full Basement,Vinyl,1.00,1019
2346,18A016000,229,STRIBLING AVE,,Single Family,1 Story,C,Shingles,Hardwood,Floor Furnace,0,1953,4,2,0,1,0,766,0,Full Basement,Concrete Block,1.00,766
2347,18A017000,231,STRIBLING AVE,,Single Family,1 Story,C,Shingles,Hardwood,Heat Pump,0,1960,5,3,0,1,0,948,,Full Basement,Asbestos,1.00,948
