GPIN,PIN_ALL,PIN_Count,Oldest_Structure,Largest_Structure_SqFT,UseCode_All,Max_UseCodeRisk,Source_All
1051,42A087000,1,1955,NA,Single Family,1,Residential
10510,270091101,1,2004,NA,Single Family,1,Residential
10511,240178000,1,1978,NA,Single Family Attached,2,Residential
10512,240155000,1,1978,NA,Single Family Attached,2,Residential
10513,18A035000,1,2018,NA,Duplex,1,Residential
10514,250026000,1,1944,NA,Single Family,1,Residential
10516,18A036000,1,1999,NA,Duplex,1,Residential
10517,240116100,1,1982,NA,Duplex,1,Residential
10519,590227000,1,1982,NA,Single Family Attached,2,Residential
1052,41A101300,1,NA,NA,Vacant Land,0,Residential
10520,220154000,1,1952,NA,Single Family,1,Residential
10521,270060000,1,1947,NA,Single Family,1,Residential
10522,580217000,1,NA,NA,Vacant Land,0,Residential
10523,570072000,1,1925,NA,Single Family,1,Residential
10524,270091360,1,2004,NA,Single Family,1,Residential
10525,18A037000,1,1999,NA,Duplex,1,Residential
10526,570109000,1,1908,NA,Single Family,1,Residential
10527,250023200,1,1962,NA,Single Family,1,Residential
10528,210114000,1,1938,NA,Single Family-1 Conversion,1,Residential
10529,220146000,1,1949,NA,Single Family,1,Residential
1053,42A035000,1,1956,NA,Single Family,1,Residential
10530,18A021000,1,1915,NA,Single Family-1 Conversion,1,Residential
10531,240232000,1,1975,NA,Single Family Attached,2,Residential
10532,22A023000,1,1964,NA,Single Family,1,Residential
10533,590211000,1,1925,NA,Single Family,1,Residential
10534,18A032000,1,1983,NA,Single Family Attached,2,Residential
10535,590044000,1,1925,NA,Single Family,1,Residential
10539,570075000,1,1925,NA,Single Family,1,Residential
1054,42A054000,1,1956,NA,Single Family,1,Residential
10540,250089000,1,1925,NA,Single Family,1,Residential
10541,590227100,1,1982,NA,Single Family Attached,2,Residential
10542,18A032100,1,1983,NA,Single Family Attached,2,Residential
10544,580218000,1,1930,664,Office Building,2,Commercial
10545,270044000,1,1947,NA,Single Family,1,Residential
10546,590035000,1,1920,NA,Single Family,1,Residential
10547,180015600,1,1961,NA,Single Family,1,Residential
10548,240156000,1,1978,NA,Single Family Attached,2,Residential
10549,240177000,1,1978,NA,Single Family Attached,2,Residential
10550,55A144000,1,NA,NA,Parking Lot,0,Residential
10551,590203000,1,1925,NA,Single Family-1 Conversion,1,Residential
10552,18A032200,1,1983,NA,Single Family Attached,2,Residential
10553,270091110,1,2004,NA,Single Family,1,Residential
10554,570071000,1,2007,NA,Single Family,1,Residential
10555,240104000,1,1966,NA,Single Family,1,Residential
10556,260003000,1,1920,NA,Single Family,1,Residential
10557,590202100,1,1963,NA,Single Family,1,Residential
10558,240116000,1,2015,NA,Single Family,1,Residential
10559,250005000,1,1925,NA,Single Family,1,Residential
1056,010001600 | 010001600 | 010001600,3,1920,166128,Multipurpose Bldg (College) | Multipurpose Bldg (College) | Multipurpose Bldg (College),2,Commercial | Commercial | Residential
10560,220156000,1,1935,NA,Single Family,1,Residential
10561,270059000,1,1949,NA,Single Family,1,Residential
10562,180015310,1,1961,NA,Single Family,1,Residential
10563,220152000,1,1952,NA,Single Family,1,Residential
10564,18A032300,1,1983,NA,Single Family Attached,2,Residential
10565,570123520 | 570123520,2,1985,3724,Group Care Home | Group Care Home,3,Commercial | Commercial
